key_id,year,lead_unit_code,lead_unit_name,dare_lead,investigator_entry,investigator_name,investigator_role,investigator_unit_code,investigator_last,investigator_first,investigator_person_key,parse_success,roster_last,roster_first,roster_area,dare_roster_match
K000162742,2025,1171,Animal Sciences,FALSE,"Belk,Keith (Primary PI) 1171","Belk,Keith",Primary PI,1171,Belk,Keith,belk|k,TRUE,,,,FALSE
K000162742,2025,1171,Animal Sciences,FALSE,"Stackhouse-Lawson,Kimberly Rose (Co-PI) 1171","Stackhouse-Lawson,Kimberly Rose",Co-PI,1171,Stackhouse-Lawson,Kimberly Rose,stackhouse lawson|k,TRUE,,,,FALSE
K000162742,2025,1171,Animal Sciences,FALSE,"Delmore,Robert J (Co-PI) 1171","Delmore,Robert J",Co-PI,1171,Delmore,Robert J,delmore|r,TRUE,,,,FALSE
K000162742,2025,1171,Animal Sciences,FALSE,"Narayanan Nair,Mahesh (Co-PI) 1171","Narayanan Nair,Mahesh",Co-PI,1171,Narayanan Nair,Mahesh,narayanan nair|m,TRUE,,,,FALSE
K000162244,2025,1173,Horticulture + Landscape Architecture,FALSE,"Vivanco,Jorge M (Primary PI) 1173","Vivanco,Jorge M",Primary PI,1173,Vivanco,Jorge M,vivanco|j,TRUE,,,,FALSE
K000162244,2025,1173,Horticulture + Landscape Architecture,FALSE,"Afkairin,Antisar SM Omar (Co-PI) 1173","Afkairin,Antisar SM Omar",Co-PI,1173,Afkairin,Antisar SM Omar,afkairin|a,TRUE,,,,FALSE
K000162264,2025,1171,Animal Sciences,FALSE,"Hess,Tanja (Primary PI) 1171","Hess,Tanja",Primary PI,1171,Hess,Tanja,hess|t,TRUE,,,,FALSE
K000162264,2025,1171,Animal Sciences,FALSE,"Carvalho Seabra,Jessica (Co-PI) 1171","Carvalho Seabra,Jessica",Co-PI,1171,Carvalho Seabra,Jessica,carvalho seabra|j,TRUE,,,,FALSE
K000162266,2025,1173,Horticulture + Landscape Architecture,FALSE,"Thompson,Henry J (Primary PI) 1173","Thompson,Henry J",Primary PI,1173,Thompson,Henry J,thompson|h,TRUE,,,,FALSE
K000161861,2025,1177,Agricultural Biology,FALSE,"Argueso,Cristiana (Primary PI) 1177","Argueso,Cristiana",Primary PI,1177,Argueso,Cristiana,argueso|c,TRUE,,,,FALSE
K000162544,2025,1177,Agricultural Biology,FALSE,"Gaines,Todd A (Primary PI) 1177","Gaines,Todd A",Primary PI,1177,Gaines,Todd A,gaines|t,TRUE,,,,FALSE
K000162544,2025,1177,Agricultural Biology,FALSE,"Abdollahi,Fatemeh (Co-PI) 1177","Abdollahi,Fatemeh",Co-PI,1177,Abdollahi,Fatemeh,abdollahi|f,TRUE,,,,FALSE
K000162485,2025,1173,Horticulture + Landscape Architecture,FALSE,"Thompson,Henry J (Primary PI) 1173","Thompson,Henry J",Primary PI,1173,Thompson,Henry J,thompson|h,TRUE,,,,FALSE
K000162243,2025,1170,Soil + Crop Sciences,FALSE,"McKay,John K (Primary PI) 1170","McKay,John K",Primary PI,1170,McKay,John K,mckay|j,TRUE,,,,FALSE
K000162243,2025,1170,Soil + Crop Sciences,FALSE,"Mullen,Jack Leonard (Co-PI) 1170","Mullen,Jack Leonard",Co-PI,1170,Mullen,Jack Leonard,mullen|j,TRUE,,,,FALSE
K000162243,2025,1170,Soil + Crop Sciences,FALSE,"O'Connor,Devin Lee (Co-PI) 1878","O'Connor,Devin Lee",Co-PI,1878,O'Connor,Devin Lee,o connor|d,TRUE,,,,FALSE
K000162243,2025,1170,Soil + Crop Sciences,FALSE,"Khakhar,Arjun (Co-PI) 1878","Khakhar,Arjun",Co-PI,1878,Khakhar,Arjun,khakhar|a,TRUE,,,,FALSE
K000162074,2025,1177,Agricultural Biology,FALSE,"Nalam,Vamsi (Primary PI) 1177","Nalam,Vamsi",Primary PI,1177,Nalam,Vamsi,nalam|v,TRUE,,,,FALSE
K000162000,2025,1170,Soil + Crop Sciences,FALSE,"Wilkins,Michael James (Primary PI) 1170","Wilkins,Michael James",Primary PI,1170,Wilkins,Michael James,wilkins|m,TRUE,,,,FALSE
K000161880,2025,1177,Agricultural Biology,FALSE,"Gaines,Todd A (Primary PI) 1177","Gaines,Todd A",Primary PI,1177,Gaines,Todd A,gaines|t,TRUE,,,,FALSE
K000161880,2025,1177,Agricultural Biology,FALSE,"Brown,Cynthia S (Co-PI) 1177","Brown,Cynthia S",Co-PI,1177,Brown,Cynthia S,brown|c,TRUE,,,,FALSE
K000161880,2025,1177,Agricultural Biology,FALSE,"Shergill,Lovreet S (Co-PI) 1177","Shergill,Lovreet S",Co-PI,1177,Shergill,Lovreet S,shergill|l,TRUE,,,,FALSE
K000161880,2025,1177,Agricultural Biology,FALSE,"Dao,Phuong Duc (Co-PI) 1177","Dao,Phuong Duc",Co-PI,1177,Dao,Phuong Duc,dao|p,TRUE,,,,FALSE
